date,location_name,proxy_hosp_continuous
2009-05-02,US,6571.496151
2009-05-09,US,5343.4892945
2009-05-16,US,4845.648677
2009-05-23,US,8496.479872
2009-05-30,US,9359.403608999999
2009-06-06,US,7202.094266499999
2009-06-13,US,5509.436166999999
2009-06-20,US,4281.4293105
2009-06-27,US,3119.801203
2009-07-04,US,2688.3393345
2009-07-11,US,1825.4155975
2009-07-18,US,1294.3856054999999
2009-07-25,US,1062.059984
2009-08-01,US,1161.6281075
2009-08-08,US,962.4918604999999
2009-08-15,US,1194.817482
2009-08-22,US,2920.664956
2009-08-29,US,5409.868043500001
2009-09-05,US,8330.5329995
2009-09-12,US,8728.8054935
2009-09-19,US,9027.509864000001
2009-09-26,US,8861.562991499999
2009-10-03,US,10753.357338
2009-10-10,US,13707.211668499998
2009-10-17,US,16827.0128715
2009-10-24,US,24991.598998499998
2009-10-31,US,23033.425903000003
2009-11-07,US,15897.710385499999
2009-11-14,US,11549.902326
2009-11-21,US,8463.2904975
2009-11-28,US,7766.313633
2009-12-05,US,5841.329912
2009-12-12,US,5409.868043500001
2009-12-19,US,5011.5955495
2009-12-26,US,6007.276784500001
2010-01-02,US,5907.708661000001
2010-01-09,US,3949.5355655000003
2010-01-16,US,3418.5055735
2010-01-23,US,3717.209944
2010-01-30,US,3717.209944
2010-02-06,US,4314.618685
2010-02-13,US,4181.8611869999995
2010-02-20,US,3949.5355655000003
2010-02-27,US,4015.9143145
2010-03-06,US,3484.8843225
2010-03-13,US,3584.4524460000002
2010-03-20,US,3086.6118285000002
2010-03-27,US,2489.2030875
2010-04-03,US,2356.4455895
2010-04-10,US,1393.953729
2010-04-17,US,1261.196231
2010-04-24,US,1194.817482
2010-05-01,US,1228.0068565000001
2010-05-08,US,995.681235
2010-05-15,US,1161.6281075
2010-05-22,US,1028.8706095
2010-05-29,US,862.9237370000001
2010-06-05,US,1327.57498
2010-06-12,US,365.0831195
2010-06-19,US,232.3256215
2010-06-26,US,265.514996
2010-07-03,US,66.378749
2010-07-10,US,199.136247
2010-07-17,US,0.0
2010-07-24,US,0.0
2010-07-31,US,0.0
2010-08-07,US,0.0
2010-08-14,US,0.0
2010-08-21,US,0.0
2010-08-28,US,0.0
2010-09-04,US,232.3256215
2010-09-11,US,663.78749
2010-09-18,US,298.7043705
2010-09-25,US,862.9237370000001
2010-10-02,US,796.544988
2010-10-09,Alabama,34.7751513
2010-10-09,Alaska,2.1247517
2010-10-09,Arizona,0.0
2010-10-09,Arkansas,1.5129455000000003
2010-10-09,California,184.41782919999997
2010-10-09,Colorado,12.7865518
2010-10-09,Connecticut,0.0
2010-10-09,Delaware,1.7057528
2010-10-09,District of Columbia,1.541115
2010-10-09,Florida,0.0
2010-10-09,Georgia,29.158828200000002
2010-10-09,Hawaii,0.0
2010-10-09,Idaho,0.0
2010-10-09,Illinois,44.35014149999999
2010-10-09,Indiana,0.0
2010-10-09,Iowa,18.8391661
2010-10-09,Kansas,0.0
2010-10-09,Kentucky,0.0
2010-10-09,Louisiana,37.917185399999994
2010-10-09,Maine,0.0
2010-10-09,Maryland,21.577951499999998
2010-10-09,Massachusetts,0.0
2010-10-09,Michigan,33.167676300000004
2010-10-09,Minnesota,0.0
2010-10-09,Mississippi,25.664695499999997
2010-10-09,Missouri,39.4763968
2010-10-09,Montana,0.22085420000000003
2010-10-09,Nebraska,20.8151352
2010-10-09,Nevada,36.1558965
2010-10-09,New Hampshire,0.0
2010-10-09,New Jersey,55.60278
2010-10-09,New Mexico,16.0806652
2010-10-09,New York,0.0
2010-10-09,North Carolina,0.0
2010-10-09,North Dakota,2.6348232
2010-10-09,Ohio,0.0
2010-10-09,Oklahoma,4.7839668
2010-10-09,Oregon,3.3969240000000003
2010-10-09,Pennsylvania,0.0
2010-10-09,Rhode Island,2.300781
2010-10-09,South Carolina,6.7479165000000005
2010-10-09,South Dakota,10.565436799999999
2010-10-09,Tennessee,0.0
2010-10-09,Texas,82.6782348
2010-10-09,US,1062.059984
2010-10-09,Utah,0.0
2010-10-09,Vermont,6.520257
2010-10-09,Virginia,11.234956200000001
2010-10-09,Washington,17.7989916
2010-10-09,West Virginia,22.2869875
2010-10-09,Wisconsin,0.0
2010-10-09,Wyoming,2.1994514
2010-10-16,Alabama,32.759200500000006
2010-10-16,Alaska,3.8831669
2010-10-16,Arizona,0.0
2010-10-16,Arkansas,0.9077672999999999
2010-10-16,California,255.04593400000002
2010-10-16,Colorado,9.880517300000001
2010-10-16,Connecticut,0.0
2010-10-16,Delaware,5.7192888
2010-10-16,District of Columbia,1.74213
2010-10-16,Florida,0.0
2010-10-16,Georgia,38.8784376
2010-10-16,Hawaii,6.198677900000001
2010-10-16,Idaho,19.00923
2010-10-16,Illinois,68.42593260000001
2010-10-16,Indiana,0.0
2010-10-16,Iowa,32.2500979
2010-10-16,Kansas,3.5214983999999996
2010-10-16,Kentucky,2.7056364
2010-10-16,Louisiana,29.1314961
2010-10-16,Maine,0.0
2010-10-16,Maryland,69.0494448
2010-10-16,Massachusetts,29.335836599999997
2010-10-16,Michigan,19.0965409
2010-10-16,Minnesota,0.0
2010-10-16,Mississippi,27.139678000000004
2010-10-16,Missouri,26.5232041
2010-10-16,Montana,3.5336672000000005
2010-10-16,Nebraska,28.866272399999996
2010-10-16,Nevada,34.8983001
2010-10-16,New Hampshire,0.0
2010-10-16,New Jersey,64.86991
2010-10-16,New Mexico,13.3300251
2010-10-16,New York,0.0
2010-10-16,North Carolina,0.0
2010-10-16,North Dakota,3.0997920000000003
2010-10-16,Ohio,0.0
2010-10-16,Oklahoma,14.3519004
2010-10-16,Oregon,8.49231
2010-10-16,Pennsylvania,40.1885736
2010-10-16,Rhode Island,1.752976
2010-10-16,South Carolina,16.0911855
2010-10-16,South Dakota,5.1931807999999995
2010-10-16,Tennessee,3.4876090000000004
2010-10-16,Texas,91.53661709999999
2010-10-16,US,1593.089976
2010-10-16,Utah,0.0
2010-10-16,Vermont,5.681016
2010-10-16,Virginia,17.284548
2010-10-16,Washington,71.1959664
2010-10-16,West Virginia,22.1086916
2010-10-16,Wisconsin,3.5375447999999996
2010-10-16,Wyoming,0.8103242000000002
2010-10-23,Alabama,28.727298899999997
2010-10-23,Alaska,0.14653460000000001
2010-10-23,Arizona,5.093421200000001
2010-10-23,Arkansas,0.0
2010-10-23,California,290.3599864
2010-10-23,Colorado,22.0858622
2010-10-23,Connecticut,0.0
2010-10-23,Delaware,5.2175968
2010-10-23,District of Columbia,0.603045
2010-10-23,Florida,0.0
2010-10-23,Georgia,66.9573092
2010-10-23,Hawaii,0.0
2010-10-23,Idaho,18.2488608
2010-10-23,Illinois,84.8988423
2010-10-23,Indiana,0.0
2010-10-23,Iowa,11.1757765
2010-10-23,Kansas,1.1738328
2010-10-23,Kentucky,0.0
2010-10-23,Louisiana,41.154018300000004
2010-10-23,Maine,0.0
2010-10-23,Maryland,30.825645
2010-10-23,Massachusetts,11.175556799999999
2010-10-23,Michigan,9.0457299
2010-10-23,Minnesota,0.0
2010-10-23,Mississippi,27.434674500000003
2010-10-23,Missouri,30.840935
2010-10-23,Montana,3.6440943
2010-10-23,Nebraska,36.7210404
2010-10-23,Nevada,31.7543091
2010-10-23,New Hampshire,6.250464
2010-10-23,New Jersey,51.895928000000005
2010-10-23,New Mexico,9.3098588
2010-10-23,New York,0.0
2010-10-23,North Carolina,0.0
2010-10-23,North Dakota,2.0923596000000004
2010-10-23,Ohio,3.5340051
2010-10-23,Oklahoma,39.0690622
2010-10-23,Oregon,1.2738464999999999
2010-10-23,Pennsylvania,33.7065456
2010-10-23,Rhode Island,4.601562
2010-10-23,South Carolina,4.6716345
2010-10-23,South Dakota,5.1931807999999995
2010-10-23,Tennessee,4.1851308
2010-10-23,Texas,94.4894112
2010-10-23,US,1559.9006015
2010-10-23,Utah,0.0
2010-10-23,Vermont,6.584814000000001
2010-10-23,Virginia,15.556093199999998
2010-10-23,Washington,59.587928399999996
2010-10-23,West Virginia,21.5738039
2010-10-23,Wisconsin,45.9880824
2010-10-23,Wyoming,0.8103242000000002
2010-10-30,Alabama,37.7990775
2010-10-30,Alaska,2.7841574
2010-10-30,Arizona,0.0
2010-10-30,Arkansas,0.0
2010-10-30,California,172.6464784
2010-10-30,Colorado,26.735517400000003
2010-10-30,Connecticut,0.0
2010-10-30,Delaware,6.9233496
2010-10-30,District of Columbia,2.345175
2010-10-30,Florida,0.0
2010-10-30,Georgia,99.35600720000001
2010-10-30,Hawaii,4.4688143
2010-10-30,Idaho,15.777660899999999
2010-10-30,Illinois,69.6930795
2010-10-30,Indiana,0.0
2010-10-30,Iowa,0.31930790000000003
2010-10-30,Kansas,2.3476656
2010-10-30,Kentucky,0.0
2010-10-30,Louisiana,24.969853800000003
2010-10-30,Maine,0.0
2010-10-30,Maryland,19.1118999
2010-10-30,Massachusetts,16.0648629
2010-10-30,Michigan,62.3150282
2010-10-30,Minnesota,3.4244339999999998
2010-10-30,Mississippi,30.384639500000002
2010-10-30,Missouri,28.3736602
2010-10-30,Montana,0.22085420000000003
2010-10-30,Nebraska,18.4587048
2010-10-30,Nevada,49.0462596
2010-10-30,New Hampshire,3.0557824
2010-10-30,New Jersey,83.40417
2010-10-30,New Mexico,19.042893
2010-10-30,New York,0.0
2010-10-30,North Carolina,0.0
2010-10-30,North Dakota,0.5424636
2010-10-30,Ohio,0.0
2010-10-30,Oklahoma,29.8997925
2010-10-30,Oregon,15.7107735
2010-10-30,Pennsylvania,1.2964056
2010-10-30,Rhode Island,3.834635
2010-10-30,South Carolina,6.228846
2010-10-30,South Dakota,5.372256
2010-10-30,Tennessee,0.0
2010-10-30,Texas,121.06455809999999
2010-10-30,US,1692.6580995
2010-10-30,Utah,0.0
2010-10-30,Vermont,6.197471999999999
2010-10-30,Virginia,19.0130028
